StdParamName,SourceGroup,LogTransf,UseInStressorID,DirIncStress,SSIndex,SSTVname.bmi,SensMax.bmi,SensMin.bmi,SSTVname.alg,SensMax.alg,SensMin.alg,SSTVname.fish,SensMax.fish,SensMin.fish,Label
PBDE_100_ug_kg,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PBDE-100 (ug/kg)
PBDE_138_ug_kg,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PBDE-138 (ug/kg)
PBDE_153_ug_kg,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PBDE-153 (ug/kg)
PBDE_154_ug_kg,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PBDE-154 (ug/kg)
PBDE_183_ug_kg,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PBDE-183 (ug/kg)
PBDE_184_ug_kg,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PBDE-184 (ug/kg)
PBDE_191_ug_kg,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PBDE-191 (ug/kg)
PBDE_209_ug_kg,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PBDE-209 (ug/kg)
Methylphenanthrene_2_ug_kg,Freshwater Sediment,1,0,Inc,,,,,,,,,,,2-Methylphenanthrene (ug/kg)
Benzo_e_pyrene_ug_kg,Freshwater Sediment,1,0,Inc,,,,,,,,,,,Benzo[e]pyrene (ug/kg)
Perylene_ug_kg,Freshwater Sediment,1,0,Inc,,,,,,,,,,,Perylene (ug/kg)
Methylchrysene_5_ug_kg,Freshwater Sediment,1,0,Inc,,,,,,,,,,,5-Methylchrysene (ug/kg)
Di_2_ethylhexyl_phthalate_ug_kg,Freshwater Sediment,1,0,Inc,,,,,,,,,,,Di(2-ethylhexyl) phthalate (ug/kg)
Butyl_benzyl_phthalate_ug_kg,Freshwater Sediment,1,0,Inc,,,,,,,,,,,Butyl benzyl phthalate (ug/kg)
Dibenzothiophene_ug_kg,Freshwater Sediment,1,0,Inc,,,,,,,,,,,Dibenzothiophene (ug/kg)
Diethyl_phthalate_ug_kg,Freshwater Sediment,1,0,Inc,,,,,,,,,,,Diethyl phthalate (ug/kg)
Dimethyl_phthalate_ug_kg,Freshwater Sediment,1,0,Inc,,,,,,,,,,,Dimethyl phthalate (ug/kg)
Dibutyl_phthalate_ug_kg,Freshwater Sediment,1,0,Inc,,,,,,,,,,,Dibutyl phthalate (ug/kg)
Di_n_octyl_phthalate_ug_kg,Freshwater Sediment,1,0,Inc,,,,,,,,,,,Di-n-octyl phthalate (ug/kg)
Phenanthrene_3_6_Dimethyl_ug_kg,Freshwater Sediment,1,0,Inc,,,,,,,,,,,"Phenanthrene, 3,6-Dimethyl- (ug/kg)"
Biphenyl_1_1pr_ug_kg,Freshwater Sediment,1,0,Inc,,,,,,,,,,,"1,1'-Biphenyl (ug/kg)"
Naphthalene_1_6_7_Trimethyl_ug_kg,Freshwater Sediment,1,0,Inc,,,,,,,,,,,"Naphthalene, 1,6,7-Trimethyl (ug/kg)"
Methylphenanthrene_1_ug_kg,Freshwater Sediment,1,0,Inc,,,,,,,,,,,1-Methylphenanthrene (ug/kg)
Naphthalene_2_6_dimethyl_ug_kg,Freshwater Sediment,1,0,Inc,,,,,,,,,,,"Naphthalene, 2,6-dimethyl- (ug/kg)"
Methylfluoranthene_2_ug_kg,Freshwater Sediment,1,0,Inc,,,,,,,,,,,2-Methylfluoranthene (ug/kg)
Fluorene_9h_1_Methyl_ug_kg,Freshwater Sediment,1,0,Inc,,,,,,,,,,,"9h-Fluorene, 1-Methyl- (ug/kg)"
Methyldibenzothiophene_4_ug_kg,Freshwater Sediment,1,0,Inc,,,,,,,,,,,4-Methyldibenzothiophene (ug/kg)
TSS_mg_l,Water Chemistry,1,1,Inc,,,,,,,,,,,Total Suspended Solids (mg/l)
Potassium_mg_kg,Freshwater Sediment,1,0,Inc,,,,,,,,,,,Potassium (mg/kg)
Aluminum_mg_kg,Freshwater Sediment,1,0,Inc,MTI,,,,,,,,,,Aluminum (mg/kg)
Iron_mg_kg,Freshwater Sediment,1,0,Inc,MTI,,,,,,,,,,Iron (mg/kg)
Nickel_mg_kg,Freshwater Sediment,1,0,Inc,MTI,,,,,,,,,,Nickel (mg/kg)
Manganese_mg_kg,Freshwater Sediment,1,0,Inc,MTI,,,,,,,,,,Manganese (mg/kg)
WaterTemp_deg_C,Water Chemistry,0,1,Inc,MTTI,ThermalPref_ALL,Cold,Cold Stenotherm,ThermalPref_ALL,Cold,Cold Stenotherm,ThermalPref_ALL,Cold,Cold Stenotherm,Water Temperature (degrees C)
Carbaryl_mg_kg,Freshwater Sediment,1,0,Inc,,,,,,,,,,,Carbaryl (mg/kg)
