StressSampleID,StationID,StressSampleDate,StdParamName,ResultValue
BIO06600_BURP15_DCE_2011_0920_08_50,BIO06600_BURP15,9/20/2011,Indeno_1_2_3_cd_pyrene_ug_kg,16
BIO06600_BURP15_DCE_2011_0920_08_50,BIO06600_BURP15,9/20/2011,Retene_ug_kg,16
BIO06600_BURP15_DCE_2011_0920_08_50,BIO06600_BURP15,9/20/2011,Methylnaphthalene_1_ug_kg,16
BIO06600_BURP15_DCE_2011_0920_08_50,BIO06600_BURP15,9/20/2011,Dibenzofuran_ug_kg,16
BIO06600_BURP15_DCE_2011_0920_08_50,BIO06600_BURP15,9/20/2011,Dibenzo_a_h_anthracene_ug_kg,16
BIO06600_BURP15_DCE_2011_0920_08_50,BIO06600_BURP15,9/20/2011,Acenaphthene_ug_kg,16
BIO06600_BURP15_DCE_2011_0920_08_50,BIO06600_BURP15,9/20/2011,Benzo_ghi_perylene_ug_kg,16
BIO06600_BURP15_DCE_2011_0920_08_50,BIO06600_BURP15,9/20/2011,Chrysene_ug_kg,16
BIO06600_BURP15_DCE_2011_0920_08_50,BIO06600_BURP15,9/20/2011,Fluoranthene_ug_kg,16
BIO06600_BURP15_DCE_2011_0920_08_50,BIO06600_BURP15,9/20/2011,Benzo_a_pyrene_ug_kg,16
BIO06600_BURP15_DCE_2011_0920_08_50,BIO06600_BURP15,9/20/2011,Pyrene_ug_kg,16
BIO06600_BURP15_DCE_2011_0920_08_50,BIO06600_BURP15,9/20/2011,Benzo_k_fluoranthene_ug_kg,16
BIO06600_BURP15_DCE_2011_0920_08_50,BIO06600_BURP15,9/20/2011,Fluorene_ug_kg,16
BIO06600_BURP15_DCE_2011_0920_08_50,BIO06600_BURP15,9/20/2011,Phenanthrene_ug_kg,16
BIO06600_BURP15_DCE_2011_0920_08_50,BIO06600_BURP15,9/20/2011,Anthracene_ug_kg,16
ERR06600_005995_DCE_2013_0802_11_41,ERR06600_005995,8/2/2013,Acenaphthene_ug_kg,17
ERR06600_005995_DCE_2013_0802_11_41,ERR06600_005995,8/2/2013,Acenaphthylene_ug_kg,17
ERR06600_005995_DCE_2013_0802_11_41,ERR06600_005995,8/2/2013,Anthracene_ug_kg,35
ERR06600_005995_DCE_2013_0802_11_41,ERR06600_005995,8/2/2013,Arsenic_mg_kg,6.25
ERR06600_005995_DCE_2013_0802_11_41,ERR06600_005995,8/2/2013,Benz_a_anthracene_ug_kg,35
ERR06600_005995_DCE_2013_0802_11_41,ERR06600_005995,8/2/2013,Benzo_a_pyrene_ug_kg,17
ERR06600_005995_DCE_2013_0802_11_41,ERR06600_005995,8/2/2013,Benzo_b_fluoranthene_ug_kg,17
ERR06600_005995_DCE_2013_0802_11_41,ERR06600_005995,8/2/2013,Benzo_ghi_perylene_ug_kg,35
