"COMID","ClusterID"
"24248490",3
"24248500",2
"24248522",2
"24248492",3
"24248496",2
"24248498",2
"24248502",2
"24248504",2
"24248506",2
"24248508",2
"24248510",2
"24248512",2
"24248514",2
"24248516",2
"24248518",2
"24248520",2
"24248524",2
"24248526",2
"24248528",2
"24248530",2
"24248532",2
"24248834",2
"24248836",2
"24248838",2
"24248840",2
"24248842",2
"24248844",2
"24248846",2
"24248850",2
"24248848",2
"24248852",2
"24248900",2
"24248896",2
"24248898",2
"24248902",2
"24249114",4
"24249116",4
"24249118",4
"24249120",4
"24249122",4
"24249130",2
"24249128",2
"24249132",2
"24249134",2
"24249136",2
"24249138",2
"24249140",2
"24249142",2
"24249144",2
"24249146",4
"24249148",4
"24249150",4
"24249152",4
"24249154",2
"24249156",2
"24249158",2
"24249160",2
"24249162",2
"24249164",2
"24249166",2
"24249168",2
"24249170",3
"24249172",2
"24249174",2
"24249962",3
"24249176",2
"24249180",2
"24249178",2
"24249202",2
"24249182",2
"24249184",2
"24249186",2
"24249188",2
"24249190",2
"24249192",2
"24249194",2
"24249196",2
"24249198",2
"24249200",2
"24249204",2
"24249206",2
"24249208",2
"24249210",2
"24249212",2
"24249214",2
"24249224",2
"24249240",2
"24249242",2
"24249244",2
"24249246",2
"24249248",2
"24249256",2
"24249258",2
"24249286",2
"24249284",2
"24249288",2
"24249290",2
"24249306",2
"24249308",2
"24249320",2
"24249316",1
"24249318",1
"24249322",4
"24249324",4
"24249326",4
"24249350",1
"24249352",1
"24249370",3
"24249372",3
"24249374",3
"24249376",3
"24249378",3
"24249504",2
"24249474",4
"24249484",4
"24249500",2
"24249488",2
"24249490",4
"24249510",2
"24249514",4
"24249518",4
"24249524",2
"24249532",2
"24249534",4
"24249544",4
"24249576",4
"24249578",4
"24249584",2
"24249594",2
"24249598",2
"24250312",4
"24249600",4
"24249602",2
"24249604",2
"24249614",2
"24249622",2
"24249626",4
"24249632",4
"24249638",4
"24249640",2
"24249644",3
"24249654",3
"24249658",2
"24249662",2
"24249680",3
"24249682",2
"24249690",2
"24249684",4
"24250362",4
"24249694",2
"24249710",2
"24249716",3
"24249728",2
"24249736",3
"24250314",3
"24249740",2
"24249744",2
"24250316",3
"24249758",3
"24249762",2
"24250462",2
"24249772",2
"24249776",2
"24249778",2
"24249782",2
"24249788",2
"24249804",2
"24250320",2
"24250322",2
"24249806",2
"24249828",2
"24249830",4
"24249832",2
"24250324",2
"24249838",2
"24249850",2
"24249856",2
"24249862",3
"24250360",2
"24249900",2
"24249892",2
"24249916",3
"24249922",3
"24249942",2
"24249946",3
"24249954",2
"24249960",2
"24249966",1
"24249988",3
"24250356",4
"24249992",4
"24249990",2
"24250006",2
"24250330",2
"24250018",2
"24250026",3
"24250328",1
"24250048",1
"24250050",1
"24250052",3
"24250080",3
"24250064",1
"24250354",1
"24250076",1
"24250078",1
"24250090",3
"24250096",3
"24250114",3
"24250110",3
"24250116",3
"24250352",1
"24250120",1
"24250140",2
"24250332",2
"24250148",3
"24250176",1
"24250152",3
"24250178",1
"24250158",3
"24250164",3
"24250190",3
"24250172",3
"24250188",3
"24250182",1
"24250206",4
"24250212",4
"24250214",3
"24250216",4
"24250228",4
"24250234",1
"24250236",4
"24250240",3
"24250248",1
"24250334",1
"24250250",3
"24250252",3
"24250348",1
"24250340",1
"24250370",2
"24250384",2
"24248548",3
"24248550",3
"24250336",3
"23833011",3
"23833013",3
"23833015",3
"23833019",3
"23833017",3
"23833021",3
"23833023",3
"23833025",3
"23833027",3
"23833029",3
"23833031",3
"23833045",3
"23833793",4
"23833033",3
"23833035",3
"23833037",3
"23833055",3
"23833039",3
"23833041",3
"23833043",3
"23833047",3
"23833049",3
"23833051",3
"23833053",3
"23833057",3
"23833059",3
"23833061",2
"23833063",2
"23833065",2
"23833067",2
"23833069",2
"23833071",3
"23833073",3
"23833075",3
"23833077",3
"23833079",3
"23833081",3
"23833083",3
"23833085",2
"23833087",2
"23833317",4
"23833089",2
"23833091",2
"23833093",2
"23833095",2
"23833139",2
"23833121",3
"23833123",3
"23833125",3
"23833127",3
"23833129",3
"23833131",3
"23833133",2
"23833137",2
"23833135",2
"23833141",3
"23833145",3
"23833147",3
"23833149",3
"23833151",3
"23833153",3
"23833155",3
"23833165",3
"23833157",3
"23833159",3
"23833161",3
"23833163",3
"23833167",3
"23833169",2
"23833171",2
"23833173",3
"23833175",3
"23833177",3
"23833179",3
"23833181",2
"23833183",3
"23833185",2
"23833187",2
"23833189",3
"23833191",2
"23833193",2
"23833195",3
"23833197",2
"23833207",3
"23833199",3
"23833201",2
"23833203",2
"23833205",3
"23833209",3
"23833211",3
"23833223",2
"23833213",2
"23833245",2
"23833215",2
"23833217",2
"23833253",2
"23833219",2
"23833221",2
"23833225",2
"23833227",2
"23833229",2
"23833231",2
"23833233",2
"23833235",2
"23833241",2
"23833259",2
"23833237",3
"23833243",3
"23833249",3
"23833269",2
"23833251",2
"23833255",2
"23833257",2
"23833261",2
"23833263",2
"23833843",4
"23833265",2
"23833267",3
"23833271",2
"23833795",2
"23833273",2
"23833283",4
"23833275",2
"23833349",2
"23833277",2
"23833287",2
"23833279",2
"23833281",3
"23833293",2
"23833285",2
"23833289",2
"23833313",3
"23833291",2
"23833295",4
"23833303",3
"23833299",3
"23833301",2
"23833305",4
"23833307",2
"23833309",2
"23833783",2
"23833311",4
"23833315",4
"23833321",2
"23833323",2
"23833351",2
"23833325",4
"23833327",4
"23833329",2
"23833331",2
"23833339",3
"23833333",3
"23833335",4
"23833337",3
"23833341",3
"23833789",2
"23833343",2
"23833345",3
"23833347",3
"23833377",2
"23833353",2
"23833355",2
"23833791",2
"23833357",3
"23833865",1
"23833359",1
"23833361",3
"23833363",2
"23833367",3
"23833365",3
"23833809",2
"23833381",2
"23833369",2
"23833401",2
"23833371",2
"23833807",1
"23833373",3
"23833385",3
"23833375",2
"23833379",2
"23833383",2
"23833387",2
"23833389",2
"23833407",3
"23833391",3
"23833819",2
"23833393",2
"23833803",2
"23833395",3
"23833397",3
"23833425",2
"23833399",2
"23833403",2
"23833405",2
"23833409",3
"23833411",3
"23833413",2
"23833801",2
"23833415",2
"23833433",3
"23833417",3
"23833815",1
"23833419",2
"23833421",2
"23833821",2
"23833423",2
"23833817",1
"23833427",2
"23833429",2
"23833837",3
"23833431",2
"23833437",2
"23833439",2
"23833813",1
"23833441",3
"23833445",2
"23833443",2
"23833829",3
"23833831",3
"23833839",3
"23833833",4
"23833835",3
"23833827",2
"23833825",2
"23833841",3
"23833845",3
"23833847",3
"23833849",4
"23833851",4
"23833853",2
"23833855",3
"23833857",4
"23833859",3
"23833861",4
"23833863",3
"23833869",2
"23834109",4
"23833891",4
"23833933",4
"23833939",4
"23833971",4
"23834095",4
"23834215",4
"23834519",2
"23834543",3
"23851465",2
"23857789",4
"23865994",4
"23857791",4
"23861125",4
"23860975",4
"23860823",2
"23866192",2
"23861115",4
"23851351",4
"23844561",4
"23844559",4
"23844563",4
"23844575",4
"23844565",4
"23844567",4
"23844569",4
"23844571",4
"23844573",4
"23844585",4
"23844587",4
"23844589",4
"23844591",4
"23844593",4
"23844595",4
"23844599",4
"23844601",4
"23844603",4
"23865544",4
"23845291",4
"23845293",4
"23861097",4
"23861099",4
"23846059",4
"23865456",3
"23850321",2
"23850323",2
"23850325",2
"23846037",4
"23846039",4
"23846041",4
"23846043",4
"23846045",4
"23846047",4
"23846049",4
"23846051",4
"23846053",4
"23846055",4
"23846057",4
"23846061",4
"23846063",4
"23846065",4
"23846079",4
"23846067",4
"23846069",4
"23846071",4
"23846119",4
"23846073",4
"23846075",4
"23846077",4
"23846081",4
"23846083",4
"23846085",4
"23846087",4
"23846089",4
"23846091",4
"23846093",4
"23846095",4
"23846099",4
"23846097",4
"23846101",4
"23846121",4
"23846103",4
"23846105",4
"23846107",4
"23846111",4
"23846109",4
"23846113",4
"23846115",4
"23846117",4
"23846123",4
"23851159",4
"23851175",4
"23850587",3
"23850177",2
"23850165",2
"23850169",2
"23850171",2
"23850175",2
"23850173",2
"23850167",2
"23850183",2
"23850185",2
"23850179",2
"23850181",2
"23850189",2
"23850191",2
"23850207",2
"23850193",2
"23850195",2
"23850197",2
"23850199",2
"23850201",2
"23850203",2
"23850205",2
"23850213",2
"23850211",2
"23850209",2
"23850215",2
"23850219",2
"23850217",2
"23850225",2
"23850227",2
"23850233",2
"23850229",2
"23850231",2
"23850235",2
"23850237",2
"23850239",2
"23865458",3
"23850241",2
"23850243",2
"23850245",2
"23850247",2
"23850249",2
"23850251",2
"23850253",2
"23850255",2
"23850257",2
"23850259",2
"23850261",2
"23850263",2
"23850265",2
"23850267",2
"23850269",2
"23850271",2
"23850273",2
"23850291",2
"23850275",2
"23850277",2
"23850279",2
"23850299",2
"23850281",2
"23850283",2
"23850285",2
"23850287",2
"23850289",2
"23850293",2
"23850295",2
"23850297",2
"23850301",2
"23850303",2
"23850305",2
"23850313",2
"23850331",2
"23850307",2
"23850309",2
"23850311",2
"23850315",2
"23850317",2
"23850319",3
"23850333",2
"23850327",3
"23850335",2
"23850329",2
"23850337",2
"23850341",2
"23850339",2
"23850657",2
"23850345",2
"23850347",2
"23850349",2
"23850351",2
"23850369",2
"23850353",2
"23850355",2
"23850357",2
"23850359",2
"23850361",2
"23850363",2
"23850365",2
"23850367",2
"23850371",3
"23850373",3
"23850375",3
"23850379",3
"23850377",3
"23850381",3
"23850383",3
"23850385",3
"23850393",3
"23850397",3
"23850387",3
"23850395",3
"23850391",3
"23850389",3
"23850399",3
"23850401",2
"23850403",2
"23850405",2
"23850407",2
"23850409",2
"23850411",2
"23850413",2
"23850427",2
"23850415",2
"23850417",2
"23850419",2
"23850421",2
"23850423",2
"23850425",2
"23850569",3
"23850429",2
"23850431",3
"23850433",3
"23850435",3
"23850437",3
"23850439",3
"23850441",3
"23850443",3
"23850445",3
"23850447",3
"23850449",3
"23850451",3
"23850453",3
"23850455",2
"23850457",2
"23850459",2
"23850461",2
"23850463",2
"23850465",2
"23850467",2
"23850469",2
"23850471",2
"23850473",2
"23850475",2
"23850477",2
"23850479",2
"23850481",2
"23850483",2
"23850485",2
"23850495",3
"23850487",3
"23850489",3
"23850491",3
"23850493",3
"23850497",3
"23850499",3
"23850501",3
"23850503",3
"23850545",3
"23850835",4
"23850505",3
"23850507",3
"23850509",3
"23850511",3
"23850513",3
"23850515",3
"23850517",3
"23850519",3
"23850521",3
"23850523",3
"23850525",3
"23850527",3
"23850529",2
"23850585",3
"23850531",2
"23850533",3
"23850535",3
"23850547",3
"23850537",3
"23850539",3
"23850541",2
"23850543",2
"23850553",3
"23850555",3
"23850557",3
"23850559",3
"23850561",3
"23850563",3
"23850565",3
"23850567",3
"23850571",3
"23850573",3
"23850575",3
"23850577",3
"23850589",3
"23850579",3
"23850581",3
"23850583",3
"23850591",3
"23850593",3
"23850595",3
"23850841",4
"23850597",3
"23850599",3
"23850601",3
"23850603",3
"23850605",3
"23850607",3
"23850609",3
"23850611",3
"23850843",4
"23850613",3
"23850615",3
"23850617",3
"23850619",3
"23850621",2
"23850623",2
"23850625",2
"23850655",2
"23850627",2
"23850631",2
"23850633",2
"23850635",2
"23850637",2
"23850639",2
"23850641",2
"23850643",2
"23850645",2
"23850647",2
"23850649",2
"23850651",2
"23850653",2
"23850659",2
"23850661",2
"23850663",2
"23850665",2
"23850667",2
"23850669",3
"23850675",2
"23850671",2
"23850673",2
"23850677",2
"23850701",2
"23850703",4
"23850709",3
"23850739",3
"947100096",3
"947100097",3
"23850731",3
"23850733",3
"23850735",3
"23850737",3
"23850741",3
"23850743",3
"23850745",3
"23850807",4
"23850837",4
"23850803",4
"23850833",4
"23850805",4
"23851033",3
"23850809",4
"23850811",4
"23850813",4
"23850817",4
"23850815",4
"23850829",4
"23850819",4
"23850821",4
"23850831",4
"23850823",4
"23850825",4
"23850827",4
"23850839",4
"23850847",3
"23850849",3
"23850851",3
"23850853",3
"23850855",3
"23850857",3
"23850859",3
"23850869",3
"23850861",3
"23850863",3
"23850865",3
"23850867",3
"23850871",3
"23850873",3
"23850877",3
"23850885",3
"23850875",3
"23850879",2
"23850881",2
"23850883",2
"23850889",3
"23850887",3
"23850891",3
"23850893",3
"23850895",3
"23850897",3
"23850899",3
"23850901",3
"23850549",3
"23850903",3
"23850905",3
"23850907",3
"23850911",3
"23850909",3
"23850913",3
"23850915",3
"23850919",3
"23850917",3
"23850921",3
"23850935",3
"23850923",3
"23850925",2
"23850957",2
"23850927",2
"23850929",2
"23850937",3
"23850931",4
"23850933",4
"23850955",2
"23850939",3
"23850941",3
"23850943",3
"23850945",2
"23850947",2
"23850949",2
"23850951",2
"23850953",2
"23850959",2
"23851353",2
"23850961",2
"23850967",3
"23850969",2
"23850971",2
"23865460",2
"23850979",2
"23850981",3
"23850983",3
"23851355",2
"23850985",3
"23850987",3
"23851051",3
"947100098",4
"947100099",4
"23851715",2
"23850995",2
"23850997",4
"23850999",4
"23851409",4
"23851001",4
"23851003",2
"23851083",3
"23851005",2
"23851007",2
"23851009",2
"23851011",2
"23851013",2
"23851021",2
"23851015",3
"23851017",3
"23851019",3
"23865462",3
"23851023",3
"23851025",2
"23851027",3
"23851035",3
"23851037",3
"23851039",2
"23851041",2
"23851043",2
"23851047",3
"23851045",3
"23851049",3
"23851427",2
"23851357",3
"23851053",3
"23851055",3
"23851057",3
"23851059",3
"23851061",3
"23851063",3
"23851087",3
"23851065",3
"23851067",4
"23851069",3
"23851071",3
"23851101",2
"23851073",3
"23851075",4
"23851077",3
"23851081",3
"23851085",2
"23851089",3
"23851091",2
"23851093",3
"23851095",3
"23851097",3
"23851099",3
"23851103",3
"23851105",3
"23851107",3
"23851109",3
"23851111",3
"23851113",3
"23851115",3
"23851117",3
"23851119",3
"23851121",3
"23851139",3
"23851123",3
"23851125",3
"23851127",3
"23851129",4
"23851171",3
"23851131",3
"23851141",3
"23851133",2
"23851135",3
"23851137",3
"23851183",3
"23851143",3
"23851145",2
"23851147",4
"23851149",2
"23851225",4
"23851151",3
"23851153",3
"23851155",3
"23851157",4
"23850551",3
"23851161",4
"23851163",2
"23851165",3
"23851169",3
"23851173",4
"23851177",4
"23851179",3
"23851181",4
"23851185",3
"23851187",2
"23851191",4
"23851193",3
"23851195",3
"23851197",4
"23851199",3
"23851419",2
"23851201",2
"23851203",4
"23851205",4
"23851209",4
"23851211",4
"23851213",2
"23851221",4
"23851227",4
"23851229",3
"23851231",4
"23851251",2
"23851233",4
"23851235",4
"23851237",4
"23851241",4
"23850629",2
"23851243",4
"23851245",3
"23851247",2
"23851249",2
"23851255",4
"23851259",2
"23851265",3
"23851261",3
"23851263",3
"23851271",2
"23857137",4
"23851273",2
"23851275",2
"23851281",2
"23851283",3
"23851285",2
"23851287",2
"23851289",2
"23851293",4
"23851299",2
"23851315",2
"23851303",2
"23851309",2
"23851313",2
"23851317",2
"23851319",4
"23851321",4
"23851323",4
"23851337",4
"23851325",4
"23851327",4
"23851329",3
"23851403",4
"23851333",4
"23851339",3
"23851341",2
"23851343",2
"23851345",2
"23851347",3
"23851349",2
"23851361",4
"23851363",2
"23851385",2
"23851365",2
"23851369",3
"23851371",2
"23851373",2
"23851375",2
"23851377",4
"23851379",4
"23851381",2
"23851383",2
"23851389",4
"23851405",4
"23851397",2
"23851399",4
"23851401",2
"23851413",4
"23851417",2
"23851421",2
"23851423",2
"23851425",2
"23851429",2
"23851433",3
"23851435",2
"23851441",4
"23851445",4
"23851447",2
"23851457",2
"23851459",2
"23851461",2
"947100078",2
"23851515",3
"23851475",2
"947100060",4
"23851479",3
"23851485",3
"23851487",2
"23851491",2
"23851493",2
"23857087",4
"23851503",2
"23851507",2
"23851511",4
"23851513",2
"23851517",2
"23851519",4
"23851523",2
"23851533",2
"23851539",2
"23851541",2
"23851551",2
"23851553",2
"23851561",2
"23851563",2
"23851567",2
"23851569",2
"23851573",2
"23851575",3
"23851577",2
"23851579",2
"23851581",2
"23851583",2
"23851585",2
"23851587",2
"23851591",2
"23851633",2
"23851599",2
"23851603",2
"23851609",3
"23851611",2
"23851613",2
"23851617",2
"23851619",2
"23851621",2
"23851623",2
"23851635",2
"23851631",2
"23850845",4
"23851637",2
"23851639",3
"23851641",2
"23852117",4
"23851645",2
"23851663",2
"23851653",2
"23851673",2
"23851655",2
"23851659",4
"23851661",4
"23851665",2
"23851667",2
"23851669",2
"23851671",2
"23851675",4
"23851677",4
"23851679",2
"23851681",2
"23851683",2
"23851685",2
"23851687",2
"23851689",2
"23851691",2
"23851693",2
"23851697",4
"23851699",2
"23851707",2
"23851709",2
"23851711",2
"23851713",4
"23852119",4
"23851717",2
"23851719",2
"23851721",2
"23851733",2
"23851725",2
"23851727",2
"23851735",4
"23851737",2
"23851743",2
"23851745",3
"23851749",2
"23851751",2
"23851759",4
"23852121",4
"23851761",3
"23851763",3
"23851767",2
"23851771",3
"23851773",2
"23851775",3
"23851779",3
"23851781",3
"23851783",2
"23851785",3
"23851787",2
"23851795",2
"23851799",2
"23851807",2
"23851809",2
"23851811",2
"23851813",2
"23851815",4
"23851819",4
"23851829",2
"23851821",2
"23851823",2
"23851825",3
"23851831",2
"23851833",3
"23851905",2
"23851837",2
"23851839",4
"23851841",2
"23851843",3
"23851845",3
"23851847",4
"23865996",2
"23851863",2
"23851865",2
"23851867",2
"23851871",2
"23851873",2
"23851875",2
"23851877",2
"23851881",2
"23851907",2
"23851887",4
"23851889",4
"23851891",2
"23851893",2
"23851895",2
"23851897",2
"23851901",2
"23851903",2
"23851909",2
"23851911",2
"23851913",2
"23851915",2
"23851919",2
"23851921",2
"23851923",2
"23852021",3
"23851925",4
"23851927",2
"23851929",2
"23851931",3
"23851933",4
"23851935",3
"23851937",4
"23851939",2
"23851941",2
"23851943",3
"23851945",2
"23851947",2
"23851949",4
"23851951",2
"23851953",2
"23851955",2
"23851957",2
"23851959",3
"23851961",2
"23851963",2
"23851965",3
"23851967",3
"23851969",2
"23851973",2
"23851975",2
"23851977",2
"23851979",2
"23851981",2
"23851983",3
"23851985",3
"23851989",4
"23851991",3
"23851993",2
"23851995",3
"23851997",3
"23852069",3
"23851999",3
"23852001",3
"23852003",2
"23852005",2
"23852007",4
"23852009",3
"23852011",3
"23852013",3
"23852015",2
"23852017",3
"23852019",3
"23852131",2
"23852023",3
"23852025",3
"23852027",2
"23852029",2
"23852031",3
"23852033",3
"23852035",2
"23852037",2
"23852039",2
"23852041",3
"23852043",3
"23852045",2
"23852141",2
"23852047",3
"23852049",2
"23852051",3
"23852053",3
"23852055",3
"23852057",3
"23852059",3
"23852137",2
"23852061",3
"23852063",3
"23852065",3
"23852067",3
"23852139",2
"23852071",3
"23852073",3
"23852075",3
"23852077",2
"23852079",2
"23852081",3
"23852083",2
"23852085",3
"23852087",3
"23852089",3
"23852091",3
"23852093",3
"23852095",3
"23852097",3
"23852099",3
"23852101",2
"23852103",3
"23852105",3
"23852107",3
"23852109",3
"23852111",2
"23852113",2
"23852115",2
"23852145",2
"23852177",4
"947100061",4
"947100062",4
"947100063",4
"947100064",4
"23857335",4
"23857861",4
"23857809",4
"23856869",2
"23856645",2
"23857793",4
"947100165",2
"947100166",2
"23856587",2
"23856589",2
"23856591",2
"23856593",2
"23856595",2
"23856597",2
"23856599",2
"23857807",4
"23856601",2
"23856603",2
"23856605",2
"23856607",2
"23856609",4
"23856613",4
"23856611",2
"23856615",2
"23856617",2
"23856619",2
"23856621",2
"23856623",2
"23856625",2
"23856629",2
"23856627",2
"23856631",2
"23856633",2
"23856635",2
"23856637",2
"23856639",2
"23856641",2
"23856643",2
"23856647",2
"23857623",4
"23856649",2
"23856651",2
"23856653",2
"23856883",2
"23856655",2
"23856657",2
"23856659",2
"23856661",2
"23856663",2
"23856667",2
"23856665",2
"23856669",2
"23856683",3
"23856671",2
"23856673",2
"23856675",2
"23856677",3
"23856679",3
"23856681",3
"23856703",2
"23856685",3
"23856689",3
"23856687",3
"23856691",2
"23856693",2
"23856695",2
"23857165",4
"23856697",2
"23856699",3
"23856701",2
"23856705",2
"23856707",2
"23856709",2
"23856711",2
"23856773",4
"23856713",2
"23856715",2
"23856717",2
"23856719",2
"23856721",2
"23856723",2
"23856725",2
"23856727",2
"23856729",2
"23856731",2
"23856733",2
"23864304",2
"23856735",2
"23856737",2
"23856739",2
"23856741",2
"23856743",4
"23856745",4
"23856747",4
"23856749",4
"23856751",2
"23856753",2
"23856755",2
"23856757",2
"23856759",4
"23856761",4
"23856763",4
"23856765",4
"23856767",4
"23856769",4
"23856771",4
"23856775",4
"23856777",4
"23856787",2
"23856781",2
"23856783",2
"23856785",2
"23856789",2
"23856791",2
"23856793",2
"23856795",3
"23856811",2
"23857145",2
"23856813",2
"23856815",2
"23856817",2
"23856819",2
"23856821",2
"23856823",2
"23856825",2
"23856827",2
"23856829",2
"23856839",2
"23856837",2
"23856841",3
"23856843",3
"23856863",2
"23856861",2
"23856857",2
"23856859",2
"23856865",2
"23856867",2
"23856871",2
"23856879",2
"23856873",2
"23856875",2
"23856877",2
"23856881",2
"23856885",2
"23856887",2
"23856889",2
"23856891",2
"23856893",2
"23856895",2
"23856897",2
"23856899",2
"23856901",2
"23856903",3
"23856965",4
"23864354",2
"23856967",4
"23856969",4
"23856971",4
"23856973",2
"23856975",2
"23856977",2
"23856979",2
"23856987",2
"23856981",2
"23856983",2
"23856985",2
"23856989",2
"23856991",2
"23856997",3
"23857041",2
"23856993",2
"23856995",2
"23856999",3
"23857001",3
"23857009",3
"23857029",4
"23857013",2
"23857015",3
"23857017",3
"23857019",3
"23857055",2
"23857021",3
"23857023",2
"23857039",2
"23857031",4
"23857033",2
"23857035",2
"23857037",2
"23857043",2
"23857045",2
"23857049",2
"23857153",4
"23857047",2
"23857051",2
"23857053",2
"23857057",2
"23857059",4
"23857061",2
"23857063",2
"23857065",2
"23857069",2
"23857067",2
"23857077",4
"23857071",4
"23857073",4
"23857075",4
"23857079",4
"23857081",4
"23857083",4
"23857669",4
"23857085",4
"23857089",4
"23861101",4
"23857091",4
"23857093",4
"23857095",4
"23857097",4
"23857099",4
"23857101",4
"23857109",4
"23857103",3
"23857105",4
"23857107",4
