"COMID","ClusterID"
"24522108",1
"23832991",2
"23832995",2
"23832997",2
"23833001",3
"23833003",3
"23833005",3
"23833007",3
"23833009",3
"24521154",4
"24521204",1
"24248488",3
"24521912",1
"24521960",1
"24522004",1
"24522066",4
"23866252",2
"23833811",2
"24521164",4
"23833805",2
"24521150",1
"24248486",3
"24520656",3
"24520658",3
"24520302",2
"24520304",2
"24520310",2
"24521156",3
"24520442",2
"24520458",2
"24520462",2
"24520500",3
"24522166",3
"24520502",3
"24520504",3
"24520506",3
"24520508",3
"24520510",3
"24520512",3
"24520514",3
"24520644",3
"24520598",3
"24522174",3
"24520600",2
"24520602",2
"24520604",2
"24520606",2
"24520608",2
"24520610",2
"24520612",2
"24520614",2
"24520616",2
"24522178",3
"24520618",3
"24520620",3
"24520622",3
"24520624",3
"24520626",3
"24520628",3
"24520630",3
"24522176",3
"24522172",2
"24520632",3
"24520634",3
"24520636",3
"24520648",3
"24520638",3
"24520640",3
"24520642",3
"24520646",3
"24520650",3
"24520652",3
"24520654",3
"24520660",3
"24520670",2
"24520662",3
"24520664",3
"24520666",3
"24520668",3
"24522170",2
"24520672",2
"24520674",2
"24520676",2
"24520678",2
"24520680",2
"24520682",2
"24520684",2
"24520694",2
"24520686",3
"24520688",2
"24521162",3
"24520690",2
"24520692",2
"24520696",2
"24520698",2
"24520700",2
"24520704",2
"24520706",2
"24520708",2
"24521148",3
"24521932",3
"24520758",3
"24520760",3
"24520762",2
"24521158",3
"24520764",2
"24520766",2
"24520788",3
"24520802",3
"24520804",3
"24520806",3
"24520808",2
"24520810",3
"24520812",3
"24520814",3
"24520822",2
"24520816",3
"24520818",2
"24520820",2
"24520824",2
"24520826",3
"24521160",3
"24520832",3
"24520834",3
"24520836",3
"24520838",3
"24520840",2
"24520842",3
"24520924",2
"24520844",3
"24520846",2
"24520848",3
"24520850",2
"24520852",2
"24520854",3
"24520856",2
"24520858",2
"24520860",2
"24520862",3
"24520864",2
"24520866",3
"24520868",3
"24520870",3
"24520872",2
"24520874",2
"24520876",2
"24520878",3
"24520880",2
"24520926",2
"24520882",2
"24520884",2
"24520886",2
"24520928",1
"24520888",2
"24520890",2
"24520898",2
"24521212",4
"24520892",2
"24520894",2
"24520896",2
"24521174",3
"24520900",2
"24520902",3
"24520904",3
"24520906",3
"24520908",2
"24520910",3
"24520912",3
"24520914",3
"24520916",2
"24520918",3
"24520920",3
"24520922",2
"24520946",1
"24520930",3
"24520932",3
"24520936",3
"24520938",3
"24520940",2
"24520944",2
"24520952",3
"24520954",3
"24520956",3
"24520958",3
"24520960",1
"24520962",2
"24520966",3
"24520968",1
"24520972",3
"24520974",3
"24520976",1
"24521880",1
"24520978",1
"24520980",2
"24520982",3
"24520984",3
"24520986",1
"24520988",3
"24520990",3
"24520992",3
"24520994",1
"24520996",3
"24520998",3
"24521998",1
"24521146",3
"24521000",1
"24521004",3
"24521006",3
"24521008",3
"24521016",3
"24521018",3
"24521020",3
"24521024",3
"24521026",3
"24521028",3
"24521030",3
"24521032",3
"24521034",3
"24521036",3
"24521048",3
"24521040",3
"24521042",3
"24521044",3
"24521046",3
"24521050",3
"24521934",3
"24521052",2
"24521054",3
"24521056",3
"24521058",4
"24521060",4
"24521064",3
"24521122",4
"24521094",3
"24521066",2
"24521068",3
"24521070",3
"24522024",4
"24521072",4
"24521074",3
"24521886",3
"24521076",4
"24521078",4
"24522058",1
"24521080",1
"24521082",3
"24521084",3
"24521086",4
"24521088",4
"24521090",3
"24521092",3
"24521096",3
"24521098",4
"24522036",4
"24521100",3
"24521102",3
"24521104",3
"24521106",3
"24521108",3
"24521110",4
"24521114",3
"24521112",3
"24521116",3
"24521118",3
"24521120",1
"24522354",1
"24521124",4
"24521126",4
"24521128",4
"24521130",3
"24521132",2
"24521134",3
"24521136",4
"24521138",4
"24522078",1
"24521140",3
"24521142",3
"24521152",3
"24521144",3
"24521166",4
"24521168",3
"24521170",3
"24521172",4
"24521176",1
"24521950",1
"24521178",1
"24521180",2
"24521216",1
"24521182",1
"24521184",4
"24521186",4
"24521192",4
"24521202",3
"24522072",4
"24521208",4
"24521210",1
"24522074",4
"24522068",4
"24521214",2
"24521218",4
"24521222",4
"24521224",4
"24521228",4
"24522076",4
"24521230",4
"24521244",4
"24521246",4
"24521252",4
"24521426",4
"24521434",4
"24521440",4
"24521546",3
"24521522",3
"24521542",3
"24521550",4
"24521552",3
"24521558",3
"24521562",3
"24521564",3
"24521582",3
"24521590",3
"24521592",3
"24521602",3
"24521594",3
"24521604",3
"24521612",3
"24521626",3
"24521638",3
"24521642",3
"24521644",3
"24521652",3
"24521968",1
"24521654",1
"24521702",3
"24521724",3
"24521738",3
"24521914",1
"24521928",1
"24521770",3
"24521778",3
"24521906",3
"24521804",3
"24521908",3
"24521818",3
"24521910",3
"24522000",1
"24521902",1
"24521890",1
"24521922",4
"24522016",1
"24521924",1
"24522020",4
"24521948",1
"24521954",1
"24521930",1
"24521944",1
"24521952",1
"24521964",3
"24521966",2
"24521982",2
"24522002",1
"24522326",1
"24522006",1
"24522018",1
"24522022",1
"24522026",1
"24522040",4
"24522042",4
"24522050",4
"24522064",4
"24522080",4
"24522060",4
"24522062",1
"24522070",4
"24522150",1
"24522206",1
"24522208",1
"24522238",2
"24522348",1
"24522420",2
"24250342",4
"24250238",4
"24250346",4
"24250344",4
"24249348",1
"24248390",2
"24248394",3
"24248392",3
"24248396",3
"24248398",3
"24248400",3
"24248402",3
"24248404",3
"24248406",3
"24248408",3
"24248410",3
"24248412",3
"24248414",3
"24248478",2
"24248480",2
"24248482",2
"24248484",2
